"location","lat","lon"
"a.v.","34.4576233","46.670534"
"accordance","41.5931807","-93.7552642"
"abia","30.194085","-97.6710886"
"Abdi","26.348812","-80.204151"
"A Shabunda","-2.694269","27.3440192"
"Abu Dhabi To","24.453884","54.3773438"
"A Gitega","-3.428803","29.924903"
"advans","42.340705","-71.584487"
"acehs","32.245802","-110.972272"
"acehs","32.245802","-110.972272"
"afganistán","33.93911","67.709953"
"agricole","37.771538","-122.4128933"
"ADB","38.9017524","-77.0397328"
"adanas","41.1427931","-95.9675204"
"Al","32.3182314","-86.902298"
"ain","46.2475706","5.1307681"
"AK","64.2008413","-149.4936733"
"agua de riego","32.4971259","-116.8698728"
"AK","64.2008413","-149.4936733"
"AK","64.2008413","-149.4936733"
"airways","36.2639465","-93.15149"
"Alcázar","37.3830519","-5.9902257"
"Akjibek","42.8844077","74.5637683"
"areu","40.752669","-73.984496"
"Appendix","37.639912","-77.5788284"
"bakus","40.8310235","-121.920316"
"Baden","40.6350668","-80.2281159"
"Avenue","36.0603952","-95.8544135"
"ambiental","50.86465","-0.083146"
"anren","30.514155","103.616057"
"Baden","40.6350668","-80.2281159"
"Bad P R a","27.4158168","77.6707924"
"barat","38.6537248","-90.6429766"
"bait","39.009321","-94.30944"
"bait al","22.9607065","87.4975335"
"baida","38.5996113","-90.2429675"
"Ausgleichsfonds","48.1352384","11.5988309"
"Bar","36.7478523","-95.9762234"
"Annex","41.8608194","-88.0129895"
"Avis","36.190522","-95.889705"
"annapolis","38.9784453","-76.4921829"
"Annex","41.8608194","-88.0129895"
"Angeles City","15.1449853","120.5887029"
"Annex","41.8608194","-88.0129895"
"banca intesa","40.7049779","-74.0100047"
"Bad Honnef","50.6426173","7.2262446"
"argos","41.4341031","-73.6191284"
"Bach","29.0984956","58.337468"
"american","36.1903855","-95.8890848"
"asiana airlines","37.7896601","-122.4004355"
"B 13","37.3649795","-75.931459"
"B 14","44.3705973","-98.4591633"
"B 2","47.3957098","-94.7798301"
"B11","34.6513102","112.3906284"
"B3","42.6897289","-73.8297302"
"B4","44.9070003","-116.0964617"
"B5","42.6898569","-73.8364157"
"B7","44.9107686","-116.1053059"
"B8","44.9107447","-116.1050382"
"B9","44.9107915","-116.1050384"
"BAAC","39.5257256","-76.3616131"
"arm","39.6350881","-79.9557298"
"arm","39.6350881","-79.9557298"
"B for","46.858884","-113.9838102"
"Au","-25.274398","133.775136"
"B.","37.2809455","49.5924134"
"Arnoldstr","40.2440313","-75.2867832"
"BACB","39.5719839","-105.1297075"
"Appendix","37.639912","-77.5788284"
"Bäckerei","36.620167","-121.918024"
"arm","39.6350881","-79.9557298"
"Augsburg","44.9663002","-93.2401366"
"arm","39.6350881","-79.9557298"
"Au","-25.274398","133.775136"
"Au","-25.274398","133.775136"
"Available","43.0406443","-76.0628453"
"Au","-25.274398","133.775136"
"Au","-25.274398","133.775136"
"B MZ","-18.665695","35.529562"
"Artículo","32.0796809","-116.5798111"
"Autoservice","38.0560235","-97.3455368"
"Approved","35.3225298","139.4357783"
"ASPA","38.8965205","-77.0299092"
"Are","40.6846968","-81.7109267"
"Au","-25.274398","133.775136"
