"location","frequency","lat","lon","class","type","importance","country","continent","confidence"
"( 1 )",1,22.3511148,78.6677428,"boundary","administrative",0.84768913588099,"India","Asia",0
"^ ^ ^ Afghanistan",1,33.7680065,66.2385139,"boundary","administrative",0.74702748283731,"Afghanistan","Asia",1
"^ r í",1,41.7962409,-71.5992372,"boundary","administrative",0.78802690263981,"United States of America","North America",0
"^axJ",1,32.48221365,130.15843823607,"aeroway","aerodrome",0.41027002765157,"Japan","Asia",0
"Ä-",1,40.7696272,44.6736646,"boundary","administrative",0.73160148533336,"Armenia","Europe",1
"Abwasserentsorgung",1,53.5457374,10.073672149356,"building","yes",0.111,"Germany","Europe",1
"Abzug",1,48.7426041,8.0568239,"waterway","ditch",0.435,"Germany","Europe",1
"Acr .",2,15.9949473,104.7328575,"place","state",0.47237207255866,"Thailand","Asia",0
"Act .",3,-35.4883502,149.0026942,"boundary","administrative",0.5609422268595,"Australia","Australia",0
"Afganistan",1,33.7680065,66.2385139,"boundary","administrative",0.74702748283731,"Afghanistan","Asia",1
"Afghanistan",309,33.7680065,66.2385139,"boundary","administrative",0.74702748283731,"Afghanistan","Asia",1
"AFGHANISTAN",1,33.7680065,66.2385139,"boundary","administrative",0.74702748283731,"Afghanistan","Asia",1
"Africa",6,11.5024338,17.7578122,"place","continent",0.90815280440868,"Chad","Africa",1
"Agriculture",2,0.6916889,30.2474592568493,"building","Mountains of the Moon University",0.36336301976664,"Uganda","Africa",1
"ägypt",3,26.2540493,29.2675469,"boundary","administrative",0.78516395823323,"Egypt","Africa",1
"Ägypten",82,26.2540493,29.2675469,"boundary","administrative",0.78516395823323,"Egypt","Africa",1
"AK Zafarana",1,37.6932846,15.1064599,"boundary","administrative",0.4610367448372,"Italy","Europe",1
"Algerien",2,28.0000272,2.9999825,"boundary","administrative",0.75831902506982,"Algeria","Africa",1
"Aliabad",2,33.5191494,50.3304419,"place","village",0.44428333494579,"Iran","Asia",1
"allen",1,40.8077797,-84.0572225,"boundary","administrative",0.6202499122234,"United States of America","North America",0
"Amsterdam",1,52.3745403,4.89797550561798,"boundary","administrative",0.83681325677576,"Netherlands","Europe",1
"Angola",1,-11.8775768,17.5691241,"boundary","administrative",0.83111761760463,"Angola","Africa",1
"Anhang",1,48.1565478,13.5942044,"place","hamlet",0.36,"Austria","Europe",1
"anstie­",1,43.145138,-0.6921825,"place","village",0.54258541444388,"France","Europe",1
"Äquatorial Guinea",1,1.613172,10.5170357,"boundary","administrative",0.75104377065023,"Equatorial Guinea","Africa",1
"Arabische Republik Ägypten",1,26.2540493,29.2675469,"boundary","administrative",0.78516395823323,"Egypt","Africa",1
"Argentina",1,-34.9964963,-64.9672817,"boundary","administrative",0.92010419456169,"Argentina","South America",0
"aride",1,-4.21242855,55.6666457283282,"place","island",0.40323022932564,NA,NA,0
"Armee",1,52.2204245,21.0407287591366,"leisure","stadium",0.42845439838275,"Poland","Europe",1
"Asia",2,51.2086975,89.2343748,"place","continent",0.87505258302452,"Russia","Europe",0
"Asien",2,51.2086975,89.2343748,"place","continent",0.76505258302452,"Russia","Europe",0
"Aswan",1,24.091071,32.897306,"place","city",0.53029160869442,"Egypt","Africa",1
"Äthiopien",3,10.2116702,38.6521203,"boundary","administrative",0.71931365418928,"Ethiopia","Africa",0
"aus­",2,30.19348925,-97.6650096352968,"aeroway","aerodrome",0.51890455386909,"United States of America","North America",0
"Ausgaben",8,49.96245345,9.10724851128453,"building","yes",0.101,"Germany","Europe",1
"Australia",1,-24.7761086,134.755,"boundary","administrative",0.96213506391511,"Australia","Australia",0
"Bad Homburg",1,50.2373164,8.56860436306261,"boundary","administrative",0.69960535101266,"Germany","Europe",1
"Badakhshan",2,36.8040254,71.367658,"boundary","administrative",0.52377789443462,"Afghanistan","Asia",1
"Baghlan",1,35.75,69,"boundary","administrative",0.50832824517945,"Afghanistan","Asia",1
"Bangkok",2,13.7542529,100.493087,"place","city",0.66624067490556,"Thailand","Asia",0
"Bank",1,51.5133798,-0.0889552,"railway","station",0.60402421133349,"United Kingdom","Europe",1
"basie­",1,51.4963889,18.305,"place","hamlet",0.35,"Poland","Europe",1
"Baube­",1,42.6907271,-2.327968,"place","locality",0.36,"Spain","Europe",0
"be-",2,50.6402809,4.6667145,"boundary","administrative",0.9190605523573,"Belgium","Europe",0.5
"Be-",1,50.6402809,4.6667145,"boundary","administrative",0.9190605523573,"Belgium","Europe",0
"Bechtolsheim",3,49.8042,8.19389,"boundary","administrative",0.54520697980407,"Germany","Europe",0.5
"Belgium",1,50.6402809,4.6667145,"boundary","administrative",0.8190605523573,"Belgium","Europe",1
"Benchmark",1,44.2252632,-103.5782475,"place","hamlet",0.36,"United States of America","North America",0
"Benin",1,9.5293472,2.2584408,"boundary","administrative",0.66761330861814,"Benin","Africa",1
"bera­",1,43.2813278,-1.6796472,"boundary","administrative",0.61178018516624,"Spain","Europe",0
"Berlin",44,52.5170365,13.3888599,"place","city",0.89753902824914,"Germany","Europe",0.846153846153846
"bern",1,46.9482713,7.4514512,"boundary","administrative",0.77341064549161,"Switzerland","Europe",0
"Bildung",1,52.23767595,10.5402419818958,"building","yes",0.111,"Germany","Europe",1
"Blatt",1,50.8191,14.0646584,"natural","peak",0.41,"Germany","Europe",1
"Bonn",6,50.735851,7.10066,"place","city",0.76645134320121,"Germany","Europe",0.833333333333333
"Bosnia",1,44.3053476,17.5961467,"boundary","administrative",0.74397298544467,"Bosnia and Herzegovina","Europe",1
"Botswana",1,-23.1681782,24.5928742,"boundary","administrative",0.77981132496,"Botswana","Africa",1
"Brazil",2,-10.3333333,-53.2,"boundary","administrative",0.84557734230612,"Brazil","South America",0
"Brun­",1,44.793248,8.440543,"boundary","administrative",0.59853639168526,"Italy","Europe",0
"Brunnenfeld",1,47.1409585,9.8382525,"place","village",0.385,"Austria","Europe",0
"Bundesrepublik Deutschland",1,51.0834196,10.4234469,"boundary","administrative",0.99968148917225,"Germany","Europe",1
"Bundestages",1,52.51871125,13.3852217376803,"building","yes",0.40500394596232,"Germany","Europe",1
"Burkina ' Ta",1,12.0753083,-1.6880314,"boundary","administrative",0.78049122448149,"Burkina Faso","Africa",1
"Burkina Faso",7,12.0753083,-1.6880314,"boundary","administrative",0.88049122448149,"Burkina Faso","Africa",1
"Burundi",1,-3.3634357,29.8870575,"boundary","administrative",0.76963338873009,"Burundi","Africa",1
"Cabo",1,-8.2838945,-35.0320984,"boundary","administrative",0.54460184934654,"Brazil","South America",0
"Cabo Verde",2,16.0000552,-24.0083947,"boundary","administrative",0.85746869631778,NA,NA,0
"Canada",2,61.0666922,-107.9917071,"boundary","administrative",0.97612591096541,"Canada","North America",0
"Cape Verde",1,16.0000552,-24.0083947,"boundary","administrative",0.75746869631778,NA,NA,0
"Capital",1,48.455818,-123.4733796,"boundary","administrative",0.53381711831933,"Canada","North America",0
"Caribbean",7,18.4,-75,"place","region",0.80534227083489,NA,NA,0
"cer­",1,45.9739401,11.7632619,"natural","peak",0.4,"Italy","Europe",1
"Chad",1,15.6134137,19.0156172,"boundary","administrative",0.76246228308102,"Chad","Africa",1
"China",3,35.000074,104.999927,"boundary","administrative",0.87882659637803,"China","Asia",0.333333333333333
"COMESA",1,42.3343387,13.4766655,"craft","metal_construction",0.111,"Italy","Europe",0
"compound",1,5.0980089,-9.0696774,"place","hamlet",0.35,"Liberia","Africa",0
"con­",1,-23.6350111,-46.641295,"railway","station",0.44224222283715,"Brazil","South America",0
"Congo",1,-0.7264327,15.6419155,"boundary","administrative",0.77741576479909,"Republic of the Congo","Africa",1
"Côte d'ivoire",1,7.9897371,-5.5679458,"boundary","administrative",1.0038520491884,"Ivory Coast","Africa",1
"Côte d'Ivoire",2,7.9897371,-5.5679458,"boundary","administrative",1.0038520491884,"Ivory Coast","Africa",1
"Cotton",1,34.2907874,-98.3750699,"boundary","administrative",0.59222746196328,"United States of America","North America",0
"Dakar",1,14.693425,-17.447938,"place","city",0.72038494418494,"Senegal","Africa",1
"Dari",1,-7.4343293,110.9091145,"place","village",0.385,"Indonesia","Asia",0
"Delhi",1,28.6517178,77.2219388,"place","city",0.77028949865446,"India","Asia",1
"Demokratie",3,50.88126985,12.0811202494482,"leisure","park",0.25,"Germany","Europe",1
"der USA",1,39.7837304,-100.4458825,"boundary","administrative",0.93569136745759,"United States of America","North America",0
"Deutschland",17,51.0834196,10.4234469,"boundary","administrative",0.99968148917225,"Germany","Europe",0.75
"dex",2,-4.8556668,139.482552317527,"aeroway","aerodrome",0.35609057542022,"Indonesia","Asia",0
"Dhaka",1,23.7593572,90.3788136,"place","city",0.61011010927081,"Bangladesh","Asia",0
"diamond",1,41.2886428,-88.2517287,"place","hamlet",0.53419440572018,"United States of America","North America",0
"drin­",1,40.1717912,20.0975971,"waterway","river",0.425,"Albania","Europe",1
"Dubai",2,25.0657,55.1713,"place","city",0.64162136618549,"United Arab Emirates","Asia",1
"Dynam",4,32.7879363,130.691671926099,"leisure","adult_gaming_centre",0.26184495549009,"Japan","Asia",0
"East",2,31.15172525,112.87832224656,"boundary","administrative",0.6770321872738,"China","Asia",0
"East Afghanistan",2,34.5656731,69.2129675,"aeroway","taxiway",0.111,"Afghanistan","Asia",1
"Egypt",1,26.2540493,29.2675469,"boundary","administrative",0.78516395823323,"Egypt","Africa",1
"Elfenbeinküste",2,7.9897371,-5.5679458,"boundary","administrative",0.70385204918839,"Ivory Coast","Africa",1
"Eritrea",1,15.9500319,37.9999668,"boundary","administrative",0.76158247180488,"Eritrea","Africa",0
"Erweiterung",1,51.6802251,7.1501458,"natural","peak",0.4,"Germany","Europe",0
"Eschborn",2,50.1426423,8.5716274,"boundary","administrative",0.55299255689123,"Germany","Europe",1
"Estonia",2,58.7523778,25.3319078,"place","country",0.75142309377025,"Estonia","Europe",1
"Ethiopia",5,10.2116702,38.6521203,"boundary","administrative",0.71931365418928,"Ethiopia","Africa",0.5
"Europe",1,51,10,"place","continent",0.82070671918832,"Germany","Europe",1
"ex-post",1,39.1748426,-6.1529891,"boundary","administrative",0.71056953694323,"Spain","Europe",1
"facilities",1,33.77994005,-84.3931402895161,"building","yes",0.101,"United States of America","North America",0
"faxen",3,59.3649536,17.8880856395579,"place","city_block",0.3,NA,NA,1
"FC",1,44.0227193,12.0141036,"boundary","administrative",0.61765138422673,"Italy","Europe",1
